"dayNum","Confirmed","Recovered","Deaths","Removed","Infected","Susceptible"
22,554,28,17,45,509,7699999446
23,653,30,18,48,605,7699999347
24,937,36,26,62,875,7699999063
25,1429,39,42,81,1348,7699998571
26,2109,52,56,108,2001,7699997891
27,2918,61,82,143,2775,7699997082
28,5567,107,131,238,5329,7699994433
29,6154,126,133,259,5895,7699993846
30,8222,143,171,314,7908,7699991778
31,9909,222,213,435,9474,7699990091
32,12018,284,259,543,11475,7699987982
33,16767,472,362,834,15933,7699983233
34,19858,623,426,1049,18809,7699980142
35,23869,852,492,1344,22525,7699976131
36,27611,1124,564,1688,25923,7699972389
37,30770,1487,634,2121,28649,7699969230
38,34303,2011,719,2730,31573,7699965697
39,37027,2616,806,3422,33605,7699962973
40,40054,3241,906,4147,35907,7699959946
41,42590,3943,1013,4956,37634,7699957410
42,44629,4680,1113,5793,38836,7699955371
43,45007,5143,1118,6261,38746,7699954993
44,60153,6288,1371,7659,52494,7699939847
45,66627,8051,1523,9574,57053,7699933373
46,68704,9386,1665,11051,57653,7699931296
47,70828,10849,1769,12618,58210,7699929172
48,72762,12567,1867,14434,58328,7699927238
49,74552,14336,2006,16342,58210,7699925448
50,74976,16104,2121,18225,56751,7699925024
51,75521,18160,2244,20404,55117,7699924479
52,76140,18869,2248,21117,55023,7699923860
53,77893,22865,2455,25320,52573,7699922107
54,78222,23374,2465,25839,52383,7699921778
55,78784,25207,2625,27832,50952,7699921216
56,79626,27877,2704,30581,49045,7699920374
57,80584,30346,2764,33110,47474,7699919416
58,81915,33236,2808,36044,45871,7699918085
59,83254,36669,2864,39533,43721,7699916746
60,85086,39739,2932,42671,42415,7699914914
61,87386,42673,2987,45660,41726,7699912614
62,89223,45559,3070,48629,40594,7699910777
63,91701,48185,3143,51328,40373,7699908299
64,93814,51127,3233,54360,39454,7699906186
65,96338,53753,3323,57076,39262,7699903662
66,99810,55791,3428,59219,40591,7699900190
67,103301,58272,3521,61793,41508,7699896699
68,106816,60608,3750,64358,42458,7699893184
69,110262,62408,3933,66341,43921,7699889738
70,114038,64317,4184,68501,45537,7699885962
71,120065,66631,4510,71141,48924,7699879935
72,121978,67948,4611,72559,49419,7699878022
73,136029,69875,5252,75127,60902,7699863971
74,145031,72246,5632,77878,67153,7699854969
75,155312,75656,6235,81891,73421,7699844688
76,165264,77702,6799,84501,80763,7699834736
77,177156,80422,7534,87956,89200,7699822844
78,190830,82793,8318,91111,99719,7699809170
79,210061,84440,9188,93628,116433,7699789939
80,230333,86842,10293,97135,133198,7699769667
81,252544,91084,11694,102778,149766,7699747456
82,274048,95101,13057,108158,165890,7699725952
83,298679,95553,14480,110033,188646,7699701321
84,323033,103818,16049,119867,203166,7699676967
85,354721,108599,18008,126607,228114,7699645279
86,390517,115581,19958,135539,254978,7699609483
87,427661,123334,22194,145528,282133,7699572339
88,465828,131420,24511,155931,309897,7699534172
89,498708,137738,26696,164434,334274,7699501292
90,530785,149518,29126,178644,352141,7699469215
