"day.num","confirmed","recovered","deaths","removed","infected","susceptible"
21,554,28,17,45,509,7699999446
22,652,30,18,48,604,7699999348
23,939,36,26,62,877,7699999061
24,1432,39,42,81,1351,7699998568
25,2113,52,56,108,2005,7699997887
26,2922,61,82,143,2779,7699997078
27,5573,107,131,238,5335,7699994427
28,6161,126,133,259,5902,7699993839
29,8229,143,171,314,7915,7699991771
30,9920,222,213,435,9485,7699990080
31,12030,284,259,543,11487,7699987970
32,16779,472,362,834,15945,7699983221
33,19870,623,426,1049,18821,7699980130
34,23881,852,492,1344,22537,7699976119
35,27624,1124,564,1688,25936,7699972376
36,30806,1487,634,2121,28685,7699969194
37,34380,2011,719,2730,31650,7699965620
38,37109,2616,806,3422,33687,7699962891
39,40139,3241,906,4147,35992,7699959861
40,42751,3943,1013,4956,37795,7699957249
41,44790,4680,1113,5793,38997,7699955210
42,45209,5147,1118,6265,38944,7699954791
43,60355,6292,1371,7663,52692,7699939645
44,66872,8055,1523,9578,57294,7699933128
45,69017,9392,1666,11058,57959,7699930983
46,71211,10862,1770,12632,58579,7699928789
47,73245,12580,1868,14448,58797,7699926755
48,75123,14349,2007,16356,58767,7699924877
49,75626,16118,2122,18240,57386,7699924374
50,76184,18174,2247,20421,55763,7699923816
51,76808,18885,2251,21136,55672,7699923192
52,78564,22881,2458,25339,53225,7699921436
53,78950,23389,2469,25858,53092,7699921050
54,79553,25222,2629,27851,51702,7699920447
55,80398,27899,2708,30607,49791,7699919602
56,81380,30378,2770,33148,48232,7699918620
57,82738,33271,2814,36085,46653,7699917262
58,84104,36704,2872,39576,44528,7699915896
59,85987,39775,2940,42715,43272,7699914013
60,88339,42709,2995,45704,42635,7699911661
61,90253,45595,3079,48674,41579,7699909747
62,92767,48221,3153,51374,41393,7699907233
63,95016,51163,3243,54406,40610,7699904984
64,97710,53789,3336,57125,40585,7699902290
65,101567,55858,3446,59304,42263,7699898433
66,105485,58351,3541,61892,43593,7699894515
67,109343,60687,3781,64468,44875,7699890657
68,113044,62487,3966,66453,46591,7699886956
69,118592,64404,4262,68666,49926,7699881408
70,125865,67003,4615,71618,54247,7699874135
71,128343,68324,4720,73044,55299,7699871657
72,145193,70251,5404,75655,69538,7699854807
73,156094,72624,5819,78443,77651,7699843906
74,167446,76034,6440,82474,84972,7699832554
75,181525,78088,7126,85214,96311,7699818475
76,197140,80840,7905,88745,108395,7699802860
77,214908,83207,8733,91940,122968,7699785092
78,242695,84854,9867,94721,147974,7699757305
79,272141,87256,11299,98555,173586,7699727859
80,304483,91499,12973,104472,200011,7699695517
